symbol;available_exchanges;currency_base;currency_quote
"ADA/SAR";"[""Synthetic""]";"Cardano";"Saudi Riyal"
"ADA/SEK";"[""Synthetic""]";"Cardano";"Swedish Krona"
"ADA/THB";"[""Bitkub""]";"Cardano";"Thai Baht"
"ADA/TRY";"[""Binance"",""Bitexen"",""BTCTurk"",""Paribu"",""Synthetic""]";"Cardano";"Turkish Lira"
"ADA/USD";"[""Binance"",""HitBTC"",""Huobi"",""Synthetic""]";"Cardano";"US Dollar"
"ADA/VND";"[""Synthetic""]";"Cardano";"Vietnamese Dong"
"ADA/ZAR";"[""Synthetic""]";"Cardano";"South African Rand"
"ADC/BTC";"[""YoBit""]";"AudioCoin";"Bitcoin"
"ADCN/USD";"[""Synthetic""]";"Asiadigicoin";"US Dollar"
"ADC/USD";"[""Synthetic""]";"AudioCoin";"US Dollar"
"ADS/BTC";"[""Graviex""]";"Adshares";"Bitcoin"
"ADS/LTC";"[""Graviex""]";"Adshares";"Litecoin"
"ADS/USD";"[""Synthetic""]";"Adshares";"US Dollar"
"ADT/BTC";"[""Bittrex""]";"adToken";"Bitcoin"
"ADT/KRW";"[""Upbit""]";"adToken";"Korean Won"
"ADT/USD";"[""Synthetic""]";"adToken";"US Dollar"
"ADX/BTC";"[""Binance"",""Huobi""]";"AdEx";"Bitcoin"
"ADX/ETH";"[""Binance""]";"AdEx";"Ethereum"
"ADX/USD";"[""Synthetic""]";"AdEx";"US Dollar"
"ADZ/BTC";"[""YoBit""]";"Adzcoin";"Bitcoin"
"ADZ/USD";"[""Synthetic""]";"Adzcoin";"US Dollar"
"AE/BTC";"[""Coinbene"",""Huobi""]";"Aeternity";"Bitcoin"
"AE/ETH";"[""Gate.io"",""Huobi""]";"Aeternity";"Ethereum"
"AEON/BTC";"[""Bittrex"",""HitBTC""]";"AEON";"Bitcoin"
"AEON/USD";"[""Synthetic""]";"AEON";"US Dollar"
"AERM/USD";"[""Synthetic""]";"Aerium";"US Dollar"
"AE/USD";"[""DragonEX"",""Gate.io"",""Hotbit"",""Huobi""]";"Aeternity";"US Dollar"
"AGI/BTC";"[""Binance"",""Kucoin""]";"SingularityNET";"Bitcoin"
"AGI/ETH";"[""Kucoin""]";"SingularityNET";"Ethereum"
"AGI/USD";"[""Synthetic""]";"SingularityNET";"US Dollar"
"AGRS/USD";"[""Synthetic""]";"Agoras Tokens";"US Dollar"
"AGVC/BTC";"[""SouthXchange""]";"AgaveCoin";"Bitcoin"
"AGVC/USD";"[""Synthetic""]";"AgaveCoin";"US Dollar"
"AIB/USD";"[""Synthetic""]";"Advanced Internet Blocks";"US Dollar"
"AIDOC/BTC";"[""Huobi""]";"AI Doctor";"Bitcoin"
"AIDOC/ETH";"[""Huobi""]";"AI Doctor";"Ethereum"
"AIDOC/USD";"[""Synthetic""]";"AI Doctor";"US Dollar"
"Aidos Kuneen/USD";"[""Kraken""]";"Aidos Kuneen";"US Dollar"
"AION/BTC";"[""Binance"",""Bitrue""]";"Aion";"Bitcoin"
"AION/ETH";"[""Binance"",""Kucoin""]";"Aion";"Ethereum"
"AION/USD";"[""Binance"",""Synthetic""]";"Aion";"US Dollar"
"AIR/USD";"[""Synthetic""]";"AirToken";"US Dollar"
"AI/USD";"[""Synthetic""]";"POLY AI";"US Dollar"
"AIX/BNT";"[""Bancor Network""]";"Aigang";"Bancor"
"AIX/USD";"[""Synthetic""]";"Aigang";"US Dollar"
"AKT/BTC";"[""Bittrex""]";"Akash Network";"Bitcoin"
"AKT/ETH";"[""Gate.io""]";"Akash Network";"Ethereum"
"AKT/USD";"[""Bittrex"",""Gate.io""]";"Akash Network";"US Dollar"
"AKY/USD";"[""Synthetic""]";"Akuya Coin";"US Dollar"
"ALGO/BTC";"[""Binance"",""Kraken""]";"Algorand";"Bitcoin"
"ALGO/ETH";"[""Bibox""]";"Algorand";"Ethereum"
"ALGO/INR";"[""Bitbns""]";"Algorand";"Indian Rupee"
"ALGO/USD";"[""Binance"",""Hotbit""]";"Algorand";"US Dollar"
"ALICE/BTC";"[""Binance""]";"MyNeighborAlice";"Bitcoin"
"ALICE/EUR";"[""Synthetic""]";"MyNeighborAlice";"Euro"
"ALICE/USD";"[""Binance""]";"MyNeighborAlice";"US Dollar"
"ALIS/USD";"[""Synthetic""]";"ALIS";"US Dollar"
"ALPHA/BTC";"[""Binance""]";"Alpha Finance Lab";"Bitcoin"
"ALPHA/USD";"[""Binance"",""FTX""]";"Alpha Finance Lab";"US Dollar"
"ALPINE/BTC";"[""Binance""]";"Alpine F1 Team Fan Token";"Bitcoin"
"ALPINE/EUR";"[""Binance""]";"Alpine F1 Team Fan Token";"Euro"
"ALPINE/TRY";"[""Binance""]";"Alpine F1 Team Fan Token";"Turkish Lira"
"ALPINE/USD";"[""Binance""]";"Alpine F1 Team Fan Token";"US Dollar"
"ALQO/USD";"[""Synthetic""]";"ALQO";"US Dollar"
"ALTCOM/BTC";"[""YoBit""]";"AltCommunity Coin";"Bitcoin"
"ALTCOM/USD";"[""Synthetic""]";"AltCommunity Coin";"US Dollar"
"ALTC/USD";"[""Synthetic""]";"Antilitecoin";"US Dollar"
"AMB/BTC";"[""Binance"",""Kucoin""]";"Ambrosus";"Bitcoin"
"AMBER/USD";"[""Synthetic""]";"AmberCoin";"US Dollar"
"AMB/ETH";"[""HitBTC"",""Kucoin""]";"Ambrosus";"Ethereum"
"AMB/USD";"[""HitBTC"",""Synthetic""]";"Ambrosus";"US Dollar"
"AMM/BTC";"[""Mercatox""]";"MicroMoney";"Bitcoin"
"AMM/ETH";"[""Mercatox""]";"MicroMoney";"Ethereum"
"AMMO/USD";"[""Synthetic""]";"Ammo Reloaded";"US Dollar"
"AMM/USD";"[""Synthetic""]";"MicroMoney";"US Dollar"
"AMPL/BTC";"[""Kucoin""]";"Ampleforth";"Bitcoin"
"AMPL/ETH";"[""Kucoin""]";"Ampleforth";"Ethereum"
"AMPL/USD";"[""Gate.io"",""Kucoin""]";"Ampleforth";"US Dollar"
"AMPt/USD";"[""Coinbase Pro""]";"Amp";"US Dollar"
"AMP/USD";"[""Synthetic""]";"Synereo";"US Dollar"
"AMS/BTC";"[""YoBit""]";"AmsterdamCoin";"Bitcoin"
"AMS/USD";"[""Synthetic""]";"AmsterdamCoin";"US Dollar"
"ANCp/BTC";"[""Binance""]";"Anchor Protocol";"Bitcoin"
"ANCp/USD";"[""Binance"",""KuCoin""]";"Anchor Protocol";"US Dollar"
"ANI/USD";"[""Synthetic""]";"Animecoin";"US Dollar"
"ANKR/BTC";"[""Binance""]";"Ankr";"Bitcoin"
"ANKR/KRW";"[""Upbit""]";"Ankr";"Korean Won"
"ANKR/TRY";"[""BTCTurk""]";"Ankr";"Turkish Lira"
"ANKR/USD";"[""Binance""]";"Ankr";"US Dollar"
"Anoncoin/USD";"[""Kraken""]";"Anoncoin";"US Dollar"
"ANT/BTC";"[""Binance"",""Bittrex""]";"Aragon";"Bitcoin"
"ANT/ETH";"[""Bitfinex"",""Bittrex""]";"Aragon";"Ethereum"
"ANTI/USD";"[""Synthetic""]";"AntiBitcoin";"US Dollar"
"ANT/USD";"[""Binance"",""Bitfinex""]";"Aragon";"US Dollar"
"ANTX/USD";"[""Synthetic""]";"Antimatter";"US Dollar"
"ANY/BTC";"[""Binance""]";"Anyswap";"Bitcoin"
"ANY/USD";"[""Binance""]";"Anyswap";"US Dollar"
"AOAR/BTC";"[""Kucoin""]";"Aurora";"Bitcoin"
"AOAR/USD";"[""Synthetic""]";"Aurora";"US Dollar"
"APE/BTC";"[""Binance""]";"ApeCoin";"Bitcoin"
"APE/CAD";"[""Synthetic""]";"ApeCoin";"Canadian Dollar"
"APE/USD";"[""Binance"",""Coinbase Pro"",""Huobi""]";"ApeCoin";"US Dollar"
"API3/USD";"[""Binance"",""Gate.io""]";"API3";"US Dollar"
"APIS/USD";"[""Synthetic""]";"APIS";"US Dollar"
"APL/BTC";"[""BitMart""]";"Apollo Currency";"Bitcoin"
"APL/USD";"[""Synthetic""]";"Apollo Currency";"US Dollar"
"APPC/BTC";"[""Binance"",""Huobi""]";"AppCoins";"Bitcoin"
"APPC/ETH";"[""HitBTC""]";"AppCoins";"Ethereum"
"APPC/USD";"[""Synthetic""]";"AppCoins";"US Dollar"
"APT/USD";"[""Coinbase Pro""]";"Aptos";"US Dollar"
"APX/USD";"[""Synthetic""]";"APX";"US Dollar"
"ARB/BTC";"[""YoBit""]";"ARbit";"Bitcoin"
"ARBIT/USD";"[""Synthetic""]";"ARbit";"US Dollar"
"ARBI/USD";"[""Synthetic""]";"ARBITRAGE";"US Dollar"
"AR/BRL";"[""Synthetic""]";"Arweave";"Brazil Real"
"ARB/USD";"[""Binance""]";" Arbitrum";"US Dollar"
"AR/CAD";"[""Synthetic""]";"Arweave";"Canadian Dollar"
"ARCO/BTC";"[""YoBit""]";"AquariusCoin";"Bitcoin"
"ARCO/USD";"[""Synthetic""]";"AquariusCoin";"US Dollar"
"ARDR/BTC";"[""Binance"",""HitBTC""]";"Ardor";"Bitcoin"
"ARDR/ETH";"[""TOKOK""]";"Ardor";"Ethereum"
"ARDR/KRW";"[""Upbit""]";"Ardor";"Korean Won"
"ARDR/USD";"[""Synthetic""]";"Ardor";"US Dollar"
"AR/EUR";"[""Synthetic""]";"Arweave";"Euro"
"ARGUS/BTC";"[""YoBit""]";"Argus";"Bitcoin"
"ARG/USD";"[""Synthetic""]";"Argentum";"US Dollar"
"ARGUS/USD";"[""Synthetic""]";"Argus";"US Dollar"
"ARI/USD";"[""Synthetic""]";"Aricoin";"US Dollar"
"ARK/AUD";"[""Synthetic""]";"Ark";"Australian Dollar"
"ARK/BTC";"[""Binance"",""Bittrex""]";"Ark";"Bitcoin"
"ARK/KRW";"[""Upbit""]";"Ark";"Korean Won"
"ARK/USD";"[""OKEx"",""Synthetic""]";"Ark";"US Dollar"
"ARN/ETH";"[""Gate.io""]";"Aeron";"Ethereum"
"ARN/USD";"[""Synthetic""]";"Aeron";"US Dollar"
"ARNX/BTC";"[""HitBTC""]";"Aeron";"Bitcoin"
"ARPA/BTC";"[""Binance""]";"ARPA Chain";"Bitcoin"
"ARPA/USD";"[""Binance""]";"ARPA Chain";"US Dollar"
"ART/BTC";"[""HitBTC""]";"Maecenas";"Bitcoin"
"ART/USD";"[""Synthetic""]";"Maecenas";"US Dollar"
"AR/USD";"[""Binance"",""Huobi""]";"Arweave";"US Dollar"
"ARV/USD";"[""ProBit Exchange""]";"Ariva";"US Dollar"
"ASN/USD";"[""Synthetic""]";"Aseancoin";"US Dollar"
"AST/BTC";"[""Binance"",""Huobi""]";"AirSwap";"Bitcoin"
"ASTRO/USD";"[""Synthetic""]";"Astro";"US Dollar"
"ASTR/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Astar";"US Dollar"
"AST/USD";"[""OKEx""]";"AirSwap";"US Dollar"
"ATA/BTC";"[""Binance""]";"Automata Network";"Bitcoin"
"ATA/USD";"[""Binance""]";"Automata Network";"US Dollar"
"ATB/BTC";"[""TOPBTC""]";"ATBCoin";"Bitcoin"
"ATB/USD";"[""YoBit""]";"ATBCoin";"US Dollar"
"ATLAS/USD";"[""FTX"",""Gate.io""]";"Star Atlas";"US Dollar"
"ATL/BTC";"[""YoBit""]";"ATLANT";"Bitcoin"
"ATL/USD";"[""Synthetic""]";"ATLANT";"US Dollar"
"ATMS/USD";"[""Synthetic""]";"Atmos";"US Dollar"
"ATM/USD";"[""YoBit""]";"ATMChain";"US Dollar"
"ATOM/BNB";"[""Binance""]";"Cosmos";"Binance Coin"
"ATOM/BTC";"[""Binance"",""OKEx""]";"Cosmos";"Bitcoin"
"ATOM/CAD";"[""Synthetic""]";"Cosmos";"Canadian Dollar"
"ATOMc/USD";"[""Synthetic""]";"Atomic Coin";"US Dollar"
"ATOM/ETH";"[""Huobi"",""OKEx""]";"Cosmos";"Ethereum"
"ATOM/EUR";"[""Kraken""]";"Cosmos";"Euro"
"ATOM/INR";"[""Bitbns""]";"Cosmos";"Indian Rupee"
"ATOM/TRY";"[""BTCTurk"",""Paribu""]";"Cosmos";"Turkish Lira"
"ATOM/USD";"[""Binance"",""Huobi"",""OKEx""]";"Cosmos";"US Dollar"
"ATS/BNT";"[""Bancor Network""]";"Authorship";"Bancor"
"ATS/USD";"[""Synthetic""]";"Authorship";"US Dollar"
"ATX/BTC";"[""Livecoin""]";"Artex Coin";"Bitcoin"
"ATXN/BTC";"[""Coinbene""]";"Aston";"Bitcoin"
"ATXN/USD";"[""Synthetic""]";"Aston";"US Dollar"
"ATX/USD";"[""Synthetic""]";"Artex Coin";"US Dollar"
"AUDIO/BTC";"[""Binance""]";"Audius";"Bitcoin"
"AUDIO/EUR";"[""BitStamp""]";"Audius";"Euro"
"AUDIO/USD";"[""Binance""]";"Audius";"US Dollar"
"AURA/USD";"[""Synthetic""]";"Aurora-DAO";"US Dollar"
"AUR/BTC";"[""YoBit""]";"Auroracoin";"Bitcoin"
"AUR/USD";"[""Synthetic""]";"Auroracoin";"US Dollar"
"AUTO/BTC";"[""HitBTC""]";"Cube";"Bitcoin"
"AUTO/USD";"[""Synthetic""]";"Cube";"US Dollar"
"AU/USD";"[""Synthetic""]";"AurumCoin";"US Dollar"
"AVAX/BRL";"[""Binance""]";"Avalanche";"Brazil Real"
"AVAX/BTC";"[""Binance"",""Huobi""]";"Avalanche";"Bitcoin"
"AVAX/CAD";"[""Synthetic""]";"Avalanche";"Canadian Dollar"
"AVAX/EUR";"[""Binance""]";"Avalanche";"Euro"
"AVAX/TRY";"[""Paribu""]";"Avalanche";"Turkish Lira"
"AVAX/USD";"[""Binance"",""Huobi""]";"Avalanche";"US Dollar"
"AV/BTC";"[""YoBit""]";"AvatarCoin";"Bitcoin"
"AVT/BTC";"[""Mercatox""]";"Aventus";"Bitcoin"
"AVT/ETH";"[""HitBTC"",""Mercatox""]";"Aventus";"Ethereum"
"AVT/USD";"[""Synthetic""]";"Aventus";"US Dollar"
"AV/USD";"[""Synthetic""]";"AvatarCoin";"US Dollar"
"AWR/USD";"[""Synthetic""]";"AWARE";"US Dollar"
"AXIOM/BTC";"[""YoBit""]";"Axiom";"Bitcoin"
"AXIOM/USD";"[""Synthetic""]";"Axiom";"US Dollar"
"AXPR/BTC";"[""Kucoin""]";"aXpire";"Bitcoin"
"AXPR/ETH";"[""Kucoin""]";"aXpire";"Ethereum"
"AXPR/USD";"[""Synthetic""]";"aXpire";"US Dollar"
"AXS/BRL";"[""Synthetic""]";"Axie Infinity";"Brazil Real"
"AXS/CAD";"[""Synthetic""]";"Axie Infinity";"Canadian Dollar"
"AXS/EUR";"[""Coinbase Pro"",""Kraken""]";"Axie Infinity";"Euro"
"AXS/KRW";"[""Bithumb""]";"Axie Infinity";"Korean Won"
"AXS/USD";"[""Binance"",""Huobi""]";"Axie Infinity";"US Dollar"
"B2B/BTC";"[""YoBit""]";"B2BX";"Bitcoin"
"B2B/USD";"[""Synthetic""]";"B2BX";"US Dollar"
"B2M/USD";"[""Bittrex""]";"Bit2Me";"US Dollar"
"B2X/BTC";"[""YoBit""]";"SegWit2x";"Bitcoin"
"B2X/USD";"[""YoBit""]";"SegWit2x";"US Dollar"
"BAC/USD";"[""Synthetic""]";"BitAlphaCoin";"US Dollar"
"BADGER/USD";"[""Binance"",""Coinbase Pro""]";"Badger DAO";"US Dollar"
"BAKE/INR";"[""Bitbns""]";"BakeryToken";"Indian Rupee"
"BAKE/USD";"[""Binance""]";"BakeryToken";"US Dollar"
"BAL/USD";"[""Binance"",""Coinbase Pro""]";"Balancer";"US Dollar"
"BAN/BTC";"[""Mercatox""]";"Banano Coin";"Bitcoin"
"BANCA/ETH";"[""HitBTC"",""Hotbit""]";"Banca";"Ethereum"
"BANCA/USD";"[""Synthetic""]";"Banca";"US Dollar"
"BAND/BNB";"[""Binance""]";"Band Protocol";"Binance Coin"
"BAND/BTC";"[""Binance""]";"Band Protocol";"Bitcoin"
"BAND/USD";"[""Binance""]";"Band Protocol";"US Dollar"
"BAN/USD";"[""Synthetic""]";"Banano Coin";"US Dollar"
"BASH/USD";"[""Synthetic""]";"LuckChain";"US Dollar"
"BAT/BTC";"[""Binance"",""IDCM""]";"Basic Attention Token ";"Bitcoin"
"BAT/ETH";"[""Bibox"",""Binance"",""Coinbase Pro""]";"Basic Attention Token";"Ethereum"
"BAT/EUR";"[""Kraken""]";"Basic Attention Token";"Euro"
"BAT/INR";"[""Bitbns""]";"Basic Attention Token";"Indian Rupee"
"BAT/JPY";"[""Bitbank""]";"Basic Attention Token";"Japanese Yen"
"BAT/MXN";"[""Bitso""]";"Basic Attention Token";"Mexican Peso"
"BAT/TRY";"[""Paribu""]";"Basic Attention Token";"Turkish Lira"
"BAT/USD";"[""Bibox"",""Binance""]";"Basic Attention Token";"US Dollar"
"BAT/USDC";"[""Coinbase Pro""]";"Basic Attention Token";"USD Coin"
"BAX/ETH";"[""CoinTiger""]";"BABB";"Ethereum"
"BAX/USD";"[""CoinTiger"",""Synthetic""]";"BABB";"US Dollar"
"BAY/USD";"[""Synthetic""]";"BitBay";"US Dollar"
"BBC/BTC";"[""CoinAll""]";"TraDove B2BCoin";"Bitcoin"
"BBC/USD";"[""Synthetic""]";"TraDove B2BCoin";"US Dollar"
"BBK/ETH";"[""IDEX""]";"Brickblock";"Ethereum"
"BBK/USD";"[""Synthetic""]";"Brickblock";"US Dollar"
"BBT/BTC";"[""Mercatox"",""YoBit""]";"BitBoost";"Bitcoin"
"BBT/USD";"[""Synthetic""]";"BitBoost";"US Dollar"
"BCA/BTC";"[""STEX"",""YoBit""]";"Bitcoin Atom";"Bitcoin"
"BCAP/USD";"[""Synthetic""]";"BCAP";"US Dollar"
"BCA/USD";"[""YoBit""]";"Bitcoin Atom";"US Dollar"
"BCD/BTC";"[""Binance"",""Huobi""]";"Bitcoin Diamond";"Bitcoin"
"BCD/ETH";"[""Kucoin""]";"Bitcoin Diamond";"Ethereum"
"BCD/IDR";"[""Indodax""]";"Bitcoin Diamond";"Indonesian Rupiah"
"BCD/KRW";"[""Bithumb""]";"Bitcoin Diamond";"Korean Won"
"BCDN/USD";"[""Gate.io""]";"BlockCDN";"US Dollar"
"BCD/USD";"[""Gate.io"",""OKEx""]";"Bitcoin Diamond";"US Dollar"
"BCHABC/AUD";"[""BTC Markets""]";"Bitcoin Cash";"Australian Dollar"
"BCHABC/BTC";"[""Binance"",""OKEx""]";"Bitcoin Cash";"Bitcoin"
"BCHABC/IDR";"[""Indodax""]";"Bitcoin Cash";"Indonesian Rupiah"
"BCHABC/INR";"[""Bitbns""]";"Bitcoin Cash";"Indian Rupee"
"BCHABC/ZAR";"[""AltCoinTrader""]";"Bitcoin Cash";"South African Rand"
"BCH/AUD";"[""Synthetic""]";"Bitcoin Cash";"Australian Dollar"
"BCH/BNB";"[""Binance""]";"Bitcoin Cash";"Binance Coin"
"BCH/BRL";"[""MercadoBitcoin""]";"Bitcoin Cash";"Brazil Real"
"BCH/BTC";"[""Bibox"",""Bittrex""]";"Bitcoin Cash";"Bitcoin"
"BCH/CAD";"[""Synthetic""]";"Bitcoin Cash";"Canadian Dollar"
"BCH/CNY";"[""Synthetic""]";"Bitcoin Cash";"Chinese Yuan"
"BCH/ETH";"[""Bibox"",""Exmo""]";"Bitcoin Cash";"Ethereum"
"BCH/EUR";"[""Binance"",""BitStamp"",""Coinbase Pro""]";"Bitcoin Cash";"Euro"
"BCH/GBP";"[""Coinbase Pro""]";"Bitcoin Cash";"British Pound"
"BCH/HKD";"[""Synthetic""]";"Bitcoin Cash";"Hong Kong Dollar"
"BCH/HT";"[""Huobi""]";"Bitcoin Cash";"Huobi Token"
"BCH/ILS";"[""Synthetic""]";"Bitcoin Cash";"Israeli Shekel"
"BCH/INR";"[""Synthetic""]";"Bitcoin Cash";"Indian Rupee"
"BCH/JPY";"[""Bitbank"",""Zaif""]";"Bitcoin Cash";"Japanese Yen"
"BCH/KRW";"[""Bithumb"",""Upbit""]";"Bitcoin Cash";"Korean Won"
"BCH/MXN";"[""Synthetic""]";"Bitcoin Cash";"Mexican Peso"
"BCH/MYR";"[""Synthetic""]";"Bitcoin Cash";"Malaysian Ringgit"
"BCH/PLN";"[""BitBay"",""Synthetic""]";"Bitcoin Cash";"Polish Zloty"
"BCH/RUB";"[""Exmo"",""Synthetic""]";"Bitcoin Cash";"Russian Ruble"
"BCH/SAR";"[""Synthetic""]";"Bitcoin Cash";"Saudi Riyal"
"BCH/SEK";"[""Synthetic""]";"Bitcoin Cash";"Swedish Krona"
"BCH/SGD";"[""QUOINE""]";"Bitcoin Cash";"Singapore Dollar"
"BCHSV/AUD";"[""BTC Markets""]";"Bitcoin SV";"Australian Dollar"
"BCHSV/BTC";"[""Poloniex""]";"Bitcoin SV";"Bitcoin"
"BCHSV/DOGE";"[""YoBit""]";"Bitcoin SV";"Dogecoin"
"BCHSV/ETH";"[""Bibox"",""Kucoin""]";"Bitcoin SV";"Ethereum"
"BCHSV/IDR";"[""Indodax""]";"Bitcoin SV";"Indonesian Rupiah"
"BCHSV/INR";"[""Bitbns""]";"Bitcoin SV";"Indian Rupee"
"BCHSV/USD";"[""Bitfinex"",""IDCM""]";"Bitcoin SV";"US Dollar"
"BCH/THB";"[""Bitkub""]";"Bitcoin Cash";"Thai Baht"
"BCH/TRY";"[""Koinim"",""Paribu"",""Synthetic""]";"Bitcoin Cash";"Turkish Lira"
"BCH/USD";"[""Binance"",""Coinbene""]";"Bitcoin Cash";"US Dollar"
"BCH/VND";"[""Synthetic""]";"Bitcoin Cash";"Vietnamese Dong"
"BCH/XRP";"[""Bitrue""]";"Bitcoin Cash";"XRP"
"BCH/ZAR";"[""Synthetic""]";"Bitcoin Cash";"South African Rand"
"BCI/BTC";"[""STEX""]";"Bitcoin Interest";"Bitcoin"
"BCI/USD";"[""Synthetic""]";"Bitcoin Interest";"US Dollar"
"BCN/ETH";"[""HitBTC""]";"Bytecoin";"Ethereum"
"BCN/USD";"[""HitBTC""]";"Bytecoin";"US Dollar"
"BCO/USD";"[""Synthetic""]";"BridgeCoin";"US Dollar"
"BCPT/BNB";"[""Binance DEX""]";"Blockmason Credit Protocol";"Binance Coin"
"BCPT/BTC";"[""HitBTC""]";"Blockmason Credit Protocol";"Bitcoin"
"BCPT/ETH";"[""HitBTC""]";"Blockmason Credit Protocol";"Ethereum"
"BCPT/USD";"[""Synthetic""]";"Blockmason Credit Protocol";"US Dollar"
"BCV/BTC";"[""Huobi""]";"BitCapitalVendor";"Bitcoin"
"BCV/USD";"[""Synthetic""]";"BitCapitalVendor";"US Dollar"
"BCX/BTC";"[""Gate.io"",""Huobi""]";"BitcoinX";"Bitcoin"
"BCX/USD";"[""Gate.io""]";"BitcoinX";"US Dollar"
"BCZERO/BTC";"[""Livecoin""]";"Buggyra Coin Zero";"Bitcoin"
"BCZERO/USD";"[""Synthetic""]";"Buggyra Coin Zero";"US Dollar"
"BDG/BTC";"[""HitBTC""]";"BitDegree";"Bitcoin"
